id,Lote,Pale
1,509,1665
2,591,1505
3,570,1579
4,576,1189
5,549,1939
6,549,1543
7,560,1157
8,581,1979
9,549,1536
10,539,1161
11,580,1110
12,580,1395
13,537,1255
14,591,1359
15,533,1126
16,599,1630
17,500,1303
18,531,1793
19,593,1191
20,567,1181
21,550,1711
22,544,1643
23,528,1601
24,549,1156
25,598,1579
26,580,1100
27,512,1901
28,578,1156
29,572,1478
30,522,1588
31,599,1056
32,500,1433
33,519,1713
34,567,1976
35,566,1336
36,559,1738
37,548,1585
38,539,1186
39,530,1602
40,588,1655
41,584,1580
42,589,1038
43,569,1969
44,546,1020
45,532,1191
46,599,1679
47,551,1439
48,595,1445
49,582,1515
50,548,1259
51,566,1303
52,529,1954
53,573,1171
54,563,1943
55,596,1513
56,538,1177
57,520,1552
58,587,1694
59,543,1195
60,510,1043
61,528,1002
62,584,1523
63,587,1066
64,589,1171
65,519,1883
66,509,1723
67,506,1694
68,587,1971
69,512,1128
70,570,1676
71,549,1189
72,534,1431
73,544,1298
74,559,1049
75,545,1206
76,518,1333
77,567,1552
78,522,1955
79,584,1766
80,533,1787
81,593,1549
82,565,1815
83,566,1230
84,596,1559
85,526,1960
86,564,1469
87,561,1243
88,575,1808
89,551,1513
90,502,1721
91,511,1912
92,556,1496
93,577,1154
94,572,1655
95,533,1403
96,596,1652
97,512,1241
98,582,1756
99,538,1036
100,545,1988
101,579,1304
102,516,1030
103,538,1976
104,570,1282
105,534,1300
106,539,1759
107,508,1634
108,598,1142
109,577,1961
110,586,1312
111,537,1754
112,522,1893
113,554,1064
114,572,1130
115,585,1727
116,520,1677
117,534,1963
118,542,1370
119,526,1409
120,596,1301
121,558,1696
122,504,1444
123,525,1877
124,568,1959
125,599,1685
126,575,1884
127,549,1574
128,515,1320
129,576,1282
130,534,1670
131,503,1024
132,578,1057
133,566,1618
134,563,1939
135,538,1332
136,557,1633
137,542,1689
138,535,1990
139,570,1910
140,501,1793
141,564,1960
142,515,1104
143,587,1772
144,507,1666
145,578,1109
146,586,1321
147,552,1524
148,599,1776
149,557,1245
150,557,1260
151,532,1291
152,530,1425
153,534,1807
154,592,1891
155,532,1412
156,589,1200
157,545,1301
158,544,1946
159,581,1671
160,505,1340
161,529,1044
162,533,1772
163,547,1194
164,512,1607
165,502,1304
166,509,1997
167,558,1281
168,541,1464
169,592,1029
170,513,1937
171,535,1390
172,578,1328
173,512,1736
174,526,1970
175,527,1264
176,595,1688
177,561,1187
178,557,1978
179,533,1320
180,522,1187
181,521,1217
182,516,1401
183,541,1417
184,506,1837
185,527,1866
186,517,1503
187,509,1748
188,543,1791
189,540,1620
190,511,1705
191,551,1785
192,517,1793
193,505,1376
194,590,1253
195,544,1960
196,501,1192
197,577,1270
198,548,1399
199,554,1986
200,546,1804
201,583,1928
202,515,1133
203,577,1729
204,563,1157
205,509,1273
206,513,1828
207,559,1415
208,561,1853
209,544,1761
210,569,1441
211,544,1575
212,535,1890
213,501,1578
214,536,1442
215,516,1165
216,541,1777
217,533,1470
218,504,1980
219,508,1848
220,522,1136
221,573,1673
222,524,1460
223,595,1428
224,573,1022
225,508,1519
226,552,1063
227,572,1067
228,561,1760
229,600,1107
230,533,1698
231,500,1754
232,560,1949
233,508,1111
234,523,1109
235,577,1015
236,596,1286
237,515,1023
238,526,1177
239,538,1370
240,560,1658
241,513,1957
242,503,1717
243,557,1350
244,568,1676
245,553,1026
246,534,1236
247,546,1159
248,532,1771
249,551,1222
250,537,1080
251,525,1813
252,524,1882
253,521,1507
254,599,1853
255,502,1068
256,518,1469
257,544,1188
258,556,1018
259,519,1303
260,576,1691
261,542,1120
262,526,1753
263,526,1595
264,549,1226
265,500,1427
266,600,1949
267,517,1700
268,562,1175
269,523,1006
270,518,1163
271,538,1984
272,575,1647
273,539,1330
274,585,1864
275,574,1853
276,552,1553
277,573,1449
278,501,1363
279,502,1115
280,514,1094
281,502,1047
282,582,1078
283,550,1914
284,510,1158
285,591,1546
286,504,1055
287,527,1268
288,567,1963
289,545,1821
290,553,1581
291,524,1990
292,548,1555
293,545,1894
294,570,1425
295,532,1176
296,529,1836
297,581,1165
298,561,1829
299,513,1807
300,508,1157
301,556,1825
302,567,1624
303,526,1611
304,560,1583
305,520,1181
306,530,1553
307,519,1899
308,589,1588
309,538,1802
310,598,1725
311,586,1320
312,560,1831
313,558,1112
314,581,1740
315,595,1635
316,579,1458
317,580,1756
318,557,1396
319,556,1220
320,588,1360
321,541,1620
322,531,1683
323,513,1031
324,522,1505
325,536,1839
326,519,1367
327,567,1282
328,523,1391
329,513,1144
330,558,1783
331,542,1789
332,501,1403
333,580,1436
334,533,1794
335,580,1988
336,522,1836
337,512,1235
338,530,1115
339,521,1660
340,584,1195
341,531,1183
342,587,1252
343,515,1412
344,501,1899
345,519,1450
346,590,1139
347,506,1960
348,545,1989
349,553,1334
350,571,1926
351,528,1287
352,502,1445
353,542,1638
354,540,1990
355,509,1780
356,519,1538
357,536,1097
358,574,1710
359,556,1265
360,583,1042
361,583,1462
362,524,1684
363,530,1307
364,516,1333
365,578,1326
366,570,1711
367,500,1289
368,527,1191
369,575,1940
370,545,1261
371,550,1500
372,519,1971
373,544,1205
374,600,1246
375,529,1957
376,569,1555
377,554,1246
378,520,1581
379,560,1978
380,566,1757
381,536,1978
382,505,1750
383,568,1493
384,594,1786
385,547,1889
386,579,1957
387,509,1995
388,577,1141
389,545,1689
390,585,1183
391,590,1146
392,514,1304
393,536,1785
394,548,1378
395,558,1154
396,542,1314
397,578,1059
398,549,1188
399,578,1646
400,561,1210
401,586,1143
402,509,1151
403,567,1393
404,595,1466
405,537,1576
406,519,1821
407,537,1225
408,595,1074
409,559,1221
410,579,1863
411,518,1632
412,521,1075
413,539,1563
414,559,1743
415,535,1762
416,591,1803
417,507,1031
418,600,1260
419,577,1507
420,503,1329
421,557,1743
422,584,1649
423,569,1846
424,522,1166
425,577,1972
426,563,1679
427,552,1049
428,572,1081
429,575,1810
430,585,1550
431,513,1582
432,519,1322
433,597,1947
434,564,1444
435,534,1349
436,573,1349
437,527,1098
438,513,1213
439,503,1076
440,554,1098
441,569,1728
442,501,1645
443,551,1948
444,531,1479
445,582,1306
446,524,1198
447,583,1798
448,597,1090
449,587,1084
450,595,1411
451,574,1251
452,570,1018
453,539,1042
454,562,1504
455,577,1832
456,586,1093
457,576,1270
458,572,1646
459,525,1863
460,517,1702
461,580,1076
462,527,1782
463,525,1978
464,513,1074
465,569,1324
466,554,1558
467,591,1304
468,501,1520
469,522,1432
470,591,1077
471,569,1301
472,592,1849
473,528,1722
474,533,1478
475,600,1250
476,502,1406
477,508,1918
478,507,1279
479,582,1667
480,555,1208
481,531,1954
482,541,1917
483,550,1944
484,559,1905
485,501,1179
486,524,1057
487,587,1476
488,567,1014
489,531,1623
490,516,1518
491,593,1465
492,525,1883
493,563,1265
494,599,1478
495,554,1435
496,591,1313
497,556,1248
498,552,1480
499,578,1259
500,584,1198
501,526,1224
502,556,1549
503,522,1750
504,552,1556
505,563,1149
506,543,1390
507,522,1571
508,534,1852
509,577,1129
510,542,1558
511,507,1332
512,559,1367
513,583,1536
514,552,1711
515,506,1388
516,574,1477
517,593,1535
518,599,1534
519,568,1022
520,506,1446
521,540,1799
522,594,1019
523,532,1362
524,526,1411
525,585,1713
526,545,1054
527,577,1348
528,509,1029
529,574,1792
530,590,1867
531,560,1961
532,587,1616
533,564,1400
534,534,1855
535,585,1390
536,587,1370
537,508,1481
538,512,1875
539,505,1580
540,588,1544
541,537,1353
542,573,1742
543,597,1437
544,531,1441
545,547,1677
546,539,1065
547,505,1304
548,518,1210
549,555,1369
550,572,1049
551,531,1034
552,576,1984
553,511,1561
554,505,1109
555,548,1472
556,536,1120
557,586,1018
558,571,1647
559,504,1350
560,593,1287
561,570,1475
562,525,1732
563,532,1014
564,504,1045
565,513,1968
566,584,1460
567,587,1129
568,575,1699
569,526,1566
570,508,1537
571,598,1653
572,509,1491
573,544,1266
574,548,1147
575,572,1379
576,594,1765
577,554,1489
578,587,1339
579,582,1909
580,582,1778
581,509,1906
582,562,1729
583,573,1538
584,518,1086
585,579,1270
586,511,1203
587,595,1639
588,575,1524
589,538,1316
590,523,1256
591,582,1335
592,525,1656
593,592,1895
594,522,1988
595,599,1306
596,573,1245
597,542,1800
598,556,1556
599,558,1941
600,567,1751
601,526,1110
602,572,1490
603,558,1329
604,574,1141
605,519,1728
606,577,1954
607,573,1214
608,505,1892
609,508,1426
610,542,1816
611,579,1318
612,575,1294
613,514,1406
614,567,1503
615,573,1715
616,585,1853
617,590,1660
618,594,1169
619,570,1890
620,544,1249
621,545,1347
622,551,1055
623,576,1307
624,507,1204
625,580,1376
626,591,1638
627,594,1503
628,594,1457
629,556,1936
630,511,1731
631,598,1081
632,584,1561
633,571,1424
634,564,1031
635,594,1846
636,569,1189
637,520,1327
638,540,1964
639,501,1742
640,547,1326
641,533,1879
642,584,1642
643,513,1841
644,567,1907
645,556,1840
646,515,1142
647,579,1721
648,588,1674
649,500,1201
650,503,1466
651,574,1399
652,586,1546
653,534,1091
654,541,1466
655,574,1361
656,547,1671
657,584,1243
658,596,1567
659,559,1988
660,543,1601
661,535,1396
662,579,1021
663,518,1177
664,547,1469
665,527,1086
666,542,1964
667,553,1704
668,568,1062
669,569,1149
670,589,1330
671,507,1126
672,534,1179
673,510,1208
674,513,1922
675,547,1343
676,577,1816
677,500,1881
678,583,1811
679,540,1741
680,502,1448
681,579,1769
682,595,1204
683,550,1490
684,536,1184
685,600,1234
686,503,1475
687,600,1978
688,530,1538
689,529,1315
690,516,1486
691,600,1475
692,539,1085
693,534,1403
694,500,1627
695,551,1610
696,542,1078
697,540,1654
698,526,1772
699,506,1171
700,595,1167
701,524,1106
702,505,1855
703,593,1709
704,512,1108
705,548,1671
706,512,1471
707,553,1349
708,526,1441
709,589,1413
710,558,1172
711,569,1203
712,570,1353
713,554,1037
714,590,1172
715,559,1104
716,573,1948
717,570,1021
718,574,1552
719,553,1983
720,533,1789
721,569,1712
722,531,1811
723,565,1524
724,579,1715
725,568,1618
726,561,1207
727,585,1597
728,555,1982
729,521,1819
730,534,1715
731,558,1508
732,553,1637
733,547,1542
734,506,1856
735,554,1156
736,545,1360
737,552,1809
738,511,1237
739,584,1673
740,527,1131
741,531,1112
742,538,1770
743,565,1572
744,593,1268
745,597,1623
746,586,1880
747,552,1238
748,514,1140
749,542,1459
750,547,1085
751,536,1864
752,573,1825
753,581,1654
754,535,1357
755,537,1282
756,531,1017
757,540,1764
758,572,1727
759,545,1326
760,586,1661
761,544,1690
762,578,1944
763,595,1264
764,590,1512
765,578,1946
766,538,1662
767,553,1839
768,556,1299
769,592,1565
770,563,1212
771,536,1699
772,590,1603
773,529,1460
774,525,1010
775,526,1791
776,514,1592
777,600,1091
778,507,1454
779,508,1370
780,545,1165
781,526,1589
782,543,1596
783,513,1279
784,554,1249
785,556,1263
786,583,1571
787,559,1450
788,517,1726
789,537,1501
790,580,1677
791,554,1020
792,562,1224
793,574,1695
794,579,1140
795,556,1394
796,571,1621
797,502,1967
798,589,1190
799,515,1643
800,549,1551
801,556,1465
802,501,1809
803,526,1548
804,577,1316
805,588,1167
806,570,1308
807,531,1662
808,532,1599
809,558,1375
810,500,1774
811,505,1748
812,598,1018
813,539,1319
814,553,1582
815,594,1941
816,537,1234
817,511,1000
818,569,1482
819,519,1487
820,500,1588
821,529,1802
822,573,1281
823,599,1501
824,523,1799
825,547,1602
826,570,1562
827,510,1109
828,558,1026
829,557,1380
830,518,1077
831,539,1094
832,534,1256
833,536,1215
834,510,1377
835,583,1204
836,575,1979
837,579,1331
838,527,1215
839,572,1366
840,548,1545
841,577,1382
842,501,1805
843,546,1526
844,507,1130
845,548,1641
846,550,1654
847,598,1176
848,511,1662
849,536,1899
850,540,1783
851,595,1836
852,527,1570
853,599,1229
854,561,1152
855,506,1629
856,506,1090
857,551,1033
858,569,1204
859,558,1693
